,Year,AFG,AHO,ALB,ALG,AND,ANG,ANT,ANZ,ARG,ARM,ARU,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BEN,BER,BIH,BIZ,BLR,BOH,BOT,BRA,BRN,BUL,BUR,CAM,CAN,CAY,CGO,CHI,CHN,CIV,CMR,COD,COK,COL,CRC,CRO,CRT,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,ERI,ESA,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,FSM,GAB,GAM,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUI,GUM,GUY,HAI,HKG,HON,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,IVB,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,KOS,KSA,KUW,LAT,LBA,LBR,LES,LIB,LIE,LTU,LUX,MAD,MAL,MAR,MAS,MAW,MDA,MEX,MGL,MHL,MKD,MLT,MNE,MON,MOZ,MRI,MTN,MYA,NAM,NCA,NED,NEP,NGR,NIG,NOR,NRU,NZL,OMA,PAK,PAN,PAR,PER,PHI,PLE,PNG,POL,POR,PRK,PUR,QAT,RHO,ROT,ROU,RSA,RUS,RWA,SAA,SAM,SCG,SEN,SGP,SKN,SLE,SLO,SMR,SOL,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SWZ,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,VIN,WIF,YAR,YEM,YUG,ZAM,ZIM
0,1896,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,32,0,48,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1,1900,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,246,0,0,0,0,117,0,0,77,0,48,0,0,0,0,0,1,0,0,11,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0
2,1904,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,248,0,0,0,0,119,0,0,93,0,50,0,0,0,0,0,1,0,0,15,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0
3,1906,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,54,0,0,0,0,0,6,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,49,0,0,0,0,0,0,0,2,0,0,0,0,4,312,0,0,0,0,158,0,0,123,0,152,0,0,0,0,0,1,0,0,28,0,2,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0
4,1908,0,0,0,0,0,0,0,19,0,0,0,16,25,0,0,0,0,87,0,0,0,0,0,12,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,66,0,0,0,0,0,0,0,2,0,0,0,0,34,352,0,0,0,0,525,0,0,144,0,156,0,0,0,0,0,1,0,0,48,0,2,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0
5,1912,0,0,0,0,0,0,0,29,0,0,0,16,38,0,0,0,0,106,0,0,0,0,0,12,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,153,0,0,0,0,0,0,0,2,0,0,0,0,105,377,0,0,0,0,695,0,0,197,0,158,0,0,0,0,0,1,0,0,78,0,2,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0
6,1920,0,0,0,0,0,0,0,29,0,0,0,23,38,0,0,0,0,294,0,0,0,0,0,12,0,7,0,0,0,0,128,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,224,0,0,0,0,0,0,0,25,3,0,0,0,157,518,0,0,0,0,806,0,0,197,0,163,0,0,0,0,0,1,0,0,78,0,2,0,0,0,0,0,0,0,178,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,295,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,453,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0
7,1924,0,0,0,0,0,0,0,29,10,0,0,34,46,0,0,0,0,338,0,0,0,0,0,12,0,7,0,0,0,0,157,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,238,0,0,0,0,0,0,0,25,9,0,0,0,224,638,0,0,0,0,901,0,0,197,0,164,0,0,0,0,0,6,0,0,100,0,9,0,0,2,0,0,0,0,229,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,152,1,0,0,334,0,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,16,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,534,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1060,0,0,0,0,0,0,0,2,0,0
8,1928,0,0,0,0,0,0,0,29,36,0,0,38,57,0,0,0,0,344,0,0,0,0,0,12,0,7,0,0,0,0,202,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,253,0,0,0,0,4,0,0,28,18,0,0,0,253,690,0,0,0,0,960,0,0,279,0,164,0,0,0,0,0,7,0,0,121,0,23,0,0,3,0,0,0,0,301,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,209,1,0,0,358,0,4,0,0,0,0,0,1,0,0,25,10,0,0,0,0,0,16,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,587,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1162,0,0,0,0,0,0,0,14,0,0
9,1932,0,0,0,0,0,0,0,29,40,0,0,43,64,0,0,0,0,345,0,0,0,0,0,12,0,7,0,0,0,0,261,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,264,0,0,0,0,4,0,0,29,18,0,0,0,285,732,0,0,0,0,995,0,0,336,0,164,0,0,0,0,0,7,0,0,156,0,38,0,0,5,0,0,0,0,378,0,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,222,1,0,0,368,0,6,0,0,0,0,0,4,0,0,45,10,0,0,0,0,0,16,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,622,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1384,0,0,0,0,0,0,0,14,0,0
10,1936,0,0,0,0,0,0,0,29,51,0,0,44,124,0,0,0,0,359,0,0,0,0,0,12,0,7,0,0,0,0,296,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,270,0,0,0,0,9,0,0,29,25,0,0,0,321,777,0,0,0,0,1048,0,0,567,0,164,0,0,0,0,0,7,0,0,198,0,57,0,0,5,0,0,0,0,454,0,0,0,67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,259,1,0,0,414,0,7,0,0,0,0,0,5,0,0,57,13,0,0,0,0,0,17,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,667,0,0,0,60,0,0,0,0,0,0,0,2,0,0,0,0,0,32,1496,0,0,0,0,0,0,0,15,0,0
11,1948,0,0,0,0,0,0,0,29,62,0,0,60,140,0,0,0,0,380,0,0,0,0,0,12,0,17,0,0,0,0,318,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,321,0,0,0,0,14,0,0,32,25,0,0,0,363,854,0,0,0,0,1111,0,0,567,0,164,0,0,0,0,0,7,0,0,262,0,77,0,1,6,0,0,0,0,522,0,3,0,67,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,299,1,0,0,445,0,7,0,0,2,0,1,5,0,0,59,18,0,1,0,0,0,17,51,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,310,0,0,755,0,0,0,97,0,0,0,0,0,1,0,14,0,0,0,0,0,35,1664,0,0,0,0,0,0,0,31,0,0
